代码,年化收益%,夏普比率,最大回撤%
159834,1.64,0.38,0.96
159831,1.6,0.35,0.93
159830,1.39,0.15,0.96
159381,1.34,0.0,0.25
563230,0.9,0.0,0.02
159367,0.87,0.0,0.21
159373,0.86,0.0,0.22
159370,0.86,0.0,0.22
159383,0.86,0.0,0.21
159375,0.84,0.0,0.23
159371,0.83,0.0,0.36
588660,0.8,0.0,0.24
588170,0.79,0.0,0.24
159368,0.73,0.0,0.2
589100,0.65,0.0,0.32
159382,0.56,0.0,0.27
588770,0.53,0.0,0.27
588240,0.52,0.0,0.18
588710,0.51,0.0,0.24
588040,0.5,0.0,0.24
159388,0.49,0.0,0.25
588720,0.49,0.0,0.26
159242,0.48,0.0,0.21
589010,0.47,0.0,0.3
159246,0.45,0.0,0.24
589990,0.44,0.0,0.2
589630,0.44,0.0,0.18
159218,0.44,0.0,0.12
588960,0.43,0.0,0.23
563210,0.43,0.0,0.18
589500,0.41,0.0,0.18
589770,0.41,0.0,0.18
589660,0.41,0.0,0.19
589800,0.41,0.0,0.19
589900,0.4,0.0,0.19
589890,0.4,0.0,0.19
589080,0.4,0.0,0.19
589000,0.4,0.0,0.19
588820,0.4,0.0,0.21
589860,0.4,0.0,0.18
589880,0.39,0.0,0.19
589600,0.39,0.0,0.19
589680,0.38,0.0,0.18
159206,0.37,0.0,0.1
589700,0.37,0.0,0.22
588870,0.37,0.0,0.25
588950,0.36,0.0,0.26
588810,0.36,0.0,0.35
159386,0.35,0.0,0.08
560750,0.35,0.0,0.08
588840,0.35,0.0,0.23
159379,0.34,0.0,0.08
563860,0.34,0.0,0.08
563320,0.34,0.0,0.04
159376,0.33,0.0,0.08
159380,0.33,0.0,0.08
512080,0.33,0.0,0.08
561880,0.32,0.0,0.07
561220,0.31,0.0,0.27
159385,0.31,0.0,0.27
589300,0.31,0.0,0.2
159201,0.3,0.0,0.08
159389,0.3,0.0,0.27
159273,0.27,0.0,0.17
520550,0.27,0.0,0.08
159283,0.27,0.0,0.07
159366,0.25,0.0,0.33
530580,0.25,0.0,0.07
530300,0.25,0.0,0.08
530080,0.25,0.0,0.08
530800,0.25,0.0,0.07
530280,0.25,0.0,0.08
159267,0.24,0.0,0.08
159372,0.22,0.0,0.22
510040,0.22,0.0,0.08
159227,0.22,0.0,0.11
530680,0.22,0.0,0.07
159241,0.21,0.0,0.1
588730,0.2,0.0,0.31
159336,0.2,0.0,0.06
159205,0.19,0.0,0.19
560120,0.19,0.0,0.04
159213,0.19,0.0,0.22
159208,0.18,0.0,0.1
159369,0.18,0.0,0.17
560630,0.18,0.0,0.19
159279,0.17,0.0,0.0
159263,0.17,0.0,0.06
159393,0.16,0.0,0.11
589520,0.16,0.0,0.13
589820,0.15,0.0,0.03
159500,0.15,0.0,0.03
159249,0.15,0.0,0.01
159292,0.14,0.0,0.03
159378,0.14,0.0,0.18
563600,0.14,0.0,0.01
530380,0.13,0.0,0.02
512370,0.12,0.0,0.02
159290,0.12,0.0,0.04
159217,0.12,0.0,0.4
159289,0.12,0.0,0.04
159291,0.12,0.0,0.04
588930,0.11,0.0,0.33
588270,0.11,0.0,0.19
589780,0.11,0.0,0.03
159272,0.11,0.0,0.06
159391,0.11,0.0,0.04
159311,0.11,0.0,0.25
520580,0.1,0.0,0.05
530530,0.1,0.0,0.02
159287,0.1,0.0,0.04
159316,0.1,0.0,0.39
588760,0.1,0.0,0.16
159276,0.09,0.0,0.03
159288,0.09,0.0,0.03
561090,0.09,0.0,0.08
159248,0.09,0.0,0.22
159377,0.08,0.0,0.23
588940,0.08,0.0,0.26
159223,0.08,0.0,0.04
563620,0.08,0.0,0.03
159240,0.08,0.0,0.03
159275,0.07,0.0,0.01
159238,0.07,0.0,0.02
588250,0.07,0.0,0.25
159226,0.07,0.0,0.03
563630,0.07,0.0,0.03
588790,0.06,0.0,0.17
159221,0.06,0.0,0.04
512060,0.06,0.0,0.03
159270,0.06,0.0,0.08
561080,0.06,0.0,0.03
563680,0.06,0.0,0.03
159225,0.06,0.0,0.04
563060,0.06,0.0,0.06
159215,0.06,0.0,0.03
159222,0.06,0.0,0.04
563550,0.06,0.0,0.03
516460,0.05,0.0,0.03
563660,0.05,0.0,0.03
563650,0.05,0.0,0.03
589980,0.05,0.0,0.21
501227,0.05,0.0,0.12
159233,0.05,0.0,0.04
563760,0.05,0.0,0.04
563830,0.05,0.0,0.03
512130,0.05,0.0,0.03
159235,0.05,0.0,0.04
159390,0.05,0.0,0.03
159236,0.05,0.0,0.04
588550,0.05,0.0,0.04
159232,0.05,0.0,0.04
589200,0.05,0.0,0.12
563990,0.05,0.0,0.03
563580,0.05,0.0,0.03
563780,0.05,0.0,0.03
563770,0.05,0.0,0.03
563390,0.04,0.0,0.03
159229,0.04,0.0,0.03
561750,0.04,0.0,0.03
561770,0.04,0.0,0.03
159266,0.04,0.0,0.09
512240,0.04,0.0,0.02
561870,0.04,0.0,0.03
159257,0.04,0.0,0.11
560820,0.04,0.0,0.03
510320,0.04,0.0,0.03
589580,0.04,0.0,0.18
159211,0.03,0.0,0.13
159219,0.03,0.0,0.12
159212,0.03,0.0,0.13
159210,0.03,0.0,0.19
159203,0.03,0.0,0.11
159392,0.03,0.0,0.12
159230,0.03,0.0,0.12
513830,0.03,0.0,0.11
159298,0.03,0.0,0.09
563700,0.02,0.0,0.08
560570,0.02,0.0,0.0
159399,0.02,0.0,0.03
589060,0.02,0.0,0.19
159216,0.02,0.0,0.13
588670,0.02,0.0,0.21
159323,0.01,0.0,0.23
562810,0.01,0.0,0.03
563900,0.01,0.0,0.03
159231,0.01,0.0,0.06
561680,0.01,0.0,0.01
589180,-0.01,0.0,0.15
560190,-0.01,0.0,0.02
159220,-0.01,0.0,0.01
159365,-0.02,0.0,0.04
520940,-0.02,0.0,0.04
159239,-0.02,0.0,0.24
589020,-0.02,0.0,0.13
512030,-0.02,0.0,0.07
563690,-0.03,0.0,0.01
588910,-0.03,0.0,0.13
562870,-0.03,0.0,0.1
159271,-0.03,0.0,0.04
159202,-0.05,0.0,0.23
520720,-0.05,0.0,0.06
589120,-0.05,0.0,0.06
589560,-0.06,0.0,0.05
588850,-0.06,0.0,0.16
563670,-0.07,0.0,0.03
520920,-0.07,0.0,0.04
588980,-0.07,0.0,0.12
589050,-0.07,0.0,0.13
159387,-0.08,0.0,0.23
159255,-0.08,0.0,0.11
159299,-0.09,0.0,0.06
588520,-0.09,0.0,0.14
159277,-0.09,0.0,0.04
159103,-0.1,0.0,0.06
589380,-0.1,0.0,0.29
508084,-0.1,0.0,0.2
159261,-0.1,0.0,0.22
159281,-0.12,0.0,0.05
159109,-0.13,0.0,0.04
588690,-0.14,0.0,0.07
159278,-0.15,0.0,0.13
589550,-0.15,0.0,0.15
159245,-0.15,0.0,0.1
520560,-0.16,0.0,0.05
159265,-0.16,0.0,0.1
159107,-0.16,0.0,0.06
589960,-0.16,0.0,0.07
159258,-0.17,0.0,0.13
159268,-0.18,0.0,0.09
159286,-0.2,0.0,0.12
159102,-0.2,0.0,0.08
520620,-0.2,0.0,0.08
159237,-0.21,0.0,0.23
562050,-0.23,0.0,0.14
560770,-0.24,0.0,0.1
589850,-0.25,0.0,0.19
520880,-0.25,0.0,0.17
159550,-0.25,0.0,0.14
588920,-0.26,0.0,0.26
159297,-0.26,0.0,0.1
508080,-0.27,0.0,0.26
159262,-0.29,0.0,0.19
588130,-0.32,0.0,0.2
159269,-0.33,0.0,0.19
520860,-0.33,0.0,0.16
520980,-0.34,0.0,0.23
520970,-0.34,0.0,0.13
159251,-0.34,0.0,0.17
589720,-0.35,0.0,0.15
520840,-0.36,0.0,0.14
159101,-0.37,0.0,0.14
520510,-0.38,0.0,0.16
159280,-0.39,0.0,0.16
520670,-0.4,0.0,0.18
508092,-0.41,0.0,0.36
159256,-0.41,0.0,0.2
508016,-0.42,0.0,0.31
508078,-0.45,0.0,0.44
589090,-0.47,0.0,0.17
520690,-0.57,0.0,0.22
508055,-0.74,0.0,0.63
508085,-0.84,0.0,0.55
508087,-0.89,0.0,0.91
518860,1.11,-0.04,1.02
518890,1.11,-0.05,0.93
518680,1.06,-0.05,0.96
518600,1.05,-0.06,1.03
518850,1.01,-0.07,0.93
518660,1.0,-0.08,0.93
159812,0.99,-0.09,0.92
508011,0.99,-0.39,0.42
159968,0.65,-0.39,3.11
508096,0.66,-0.41,2.19
508028,0.99,-0.42,0.77
159937,0.63,-0.45,0.92
159934,0.61,-0.47,0.96
518880,0.55,-0.51,0.91
510530,0.46,-0.52,2.98
518800,0.54,-0.53,0.9
510590,0.39,-0.54,2.96
510500,0.35,-0.57,6.04
508007,0.72,-0.59,1.48
515350,0.42,-0.6,2.29
508008,0.48,-0.66,1.43
511920,-1.05,-0.68,12.36
515360,0.43,-0.69,2.18
511380,0.43,-0.7,2.01
510180,0.2,-0.73,3.64
508017,0.76,-0.82,0.33
515660,0.34,-0.85,2.39
159902,0.18,-0.85,3.17
516160,0.04,-0.86,3.1
510880,0.12,-0.87,3.84
159562,0.36,-0.88,0.46
510390,0.22,-0.9,2.31
510050,0.15,-0.91,3.15
501046,0.43,-0.93,1.88
159916,0.27,-0.95,2.38
515700,0.25,-0.98,2.23
510130,0.26,-0.99,3.09
510330,0.26,-0.99,2.35
159901,0.15,-1.05,2.31
508058,0.46,-1.08,0.86
510300,0.23,-1.08,2.34
159919,0.23,-1.1,2.32
511180,0.4,-1.13,0.91
510350,0.2,-1.13,2.35
159925,0.25,-1.14,2.12
508068,0.33,-1.15,0.81
515880,0.32,-1.17,0.7
510310,0.24,-1.18,2.09
159948,0.16,-1.22,2.08
501057,0.21,-1.26,2.15
515380,0.05,-1.26,2.7
501077,0.24,-1.28,1.94
501058,0.2,-1.28,2.14
159695,0.42,-1.31,0.35
508006,0.18,-1.32,3.73
501064,0.33,-1.35,1.41
508000,0.05,-1.35,2.13
159915,0.18,-1.36,2.56
508098,0.17,-1.37,1.07
517520,0.51,-1.41,0.37
515030,0.17,-1.42,1.77
159315,0.48,-1.43,0.28
510710,0.16,-1.48,1.84
510600,0.22,-1.49,1.7
510190,0.11,-1.49,2.49
159322,0.48,-1.5,0.27
501099,0.2,-1.5,1.12
159507,0.45,-1.53,0.29
159597,0.74,-1.55,0.44
508056,-0.12,-1.55,2.31
517400,0.45,-1.56,0.26
501082,0.27,-1.57,1.0
588990,0.63,-1.59,0.51
513310,0.49,-1.6,0.52
508026,0.72,-1.62,0.34
159690,0.35,-1.62,0.27
512500,-0.02,-1.63,2.37
159321,0.44,-1.65,0.27
512770,0.16,-1.66,1.51
159320,0.78,-1.67,0.21
561380,0.78,-1.67,0.21
508027,-0.09,-1.67,2.33
159582,0.73,-1.68,0.37
515530,0.09,-1.68,1.85
588070,0.69,-1.69,0.22
508018,-0.55,-1.69,2.81
510580,0.06,-1.71,1.63
159908,0.15,-1.78,1.72
510660,0.11,-1.78,2.12
588020,0.44,-1.81,0.26
501083,0.15,-1.82,1.0
515050,0.19,-1.84,0.83
512220,0.15,-1.84,1.69
510020,0.12,-1.85,1.65
159922,0.14,-1.86,2.45
159566,0.5,-1.87,0.32
510100,0.15,-1.87,1.39
520700,0.55,-1.88,0.42
563330,0.5,-1.9,0.56
159511,0.41,-1.9,0.3
588110,0.41,-1.91,0.26
501075,0.25,-1.91,1.09
159964,0.19,-1.91,1.19
159811,0.18,-1.91,0.53
501078,0.18,-1.92,1.31
159957,0.14,-1.92,1.21
512100,0.07,-1.92,1.46
588890,0.89,-1.93,0.56
561330,0.25,-1.93,0.44
561980,0.43,-1.94,0.33
516150,0.18,-1.94,0.93
501081,0.26,-1.96,0.95
513780,0.59,-1.98,0.43
510850,0.12,-1.98,1.65
159327,0.48,-2.0,0.37
516300,0.04,-2.01,1.35
159652,0.21,-2.03,0.37
501009,0.02,-2.03,1.83
516780,0.17,-2.04,0.89
159918,0.1,-2.06,2.8
159956,0.13,-2.07,1.12
159845,-0.03,-2.07,1.65
159303,0.37,-2.08,0.41
501010,0.02,-2.08,1.99
510680,0.21,-2.09,2.36
560860,0.17,-2.09,0.4
159958,0.12,-2.11,1.14
159583,0.59,-2.12,0.18
588200,0.4,-2.12,0.73
560660,0.28,-2.12,0.64
159305,0.51,-2.14,0.24
501079,0.31,-2.14,0.84
159880,0.13,-2.15,0.94
159509,0.6,-2.16,0.53
588290,0.39,-2.16,0.73
159738,0.29,-2.16,0.55
159570,0.41,-2.17,0.48
159994,0.17,-2.18,0.67
512930,0.21,-2.2,0.76
501038,0.09,-2.2,1.2
513050,0.01,-2.2,1.81
159933,0.19,-2.21,1.27
159871,0.14,-2.21,0.92
159952,0.12,-2.23,1.15
508002,0.64,-2.26,0.75
515200,0.14,-2.26,1.07
516650,0.07,-2.27,0.81
159995,0.14,-2.28,1.04
159961,0.13,-2.3,1.32
501071,0.11,-2.33,0.85
513600,0.04,-2.33,1.25
501001,0.06,-2.35,1.59
159973,0.11,-2.37,1.18
159529,0.22,-2.38,0.63
159905,0.07,-2.39,1.56
159881,0.04,-2.39,0.93
501051,0.13,-2.4,1.11
159824,0.06,-2.45,1.09
510650,0.18,-2.46,0.91
159681,0.13,-2.46,0.46
512400,0.1,-2.46,0.91
513660,0.1,-2.47,1.24
501065,0.05,-2.47,1.57
517390,0.24,-2.53,0.56
508001,-0.35,-2.53,1.95
501090,0.07,-2.54,0.98
563010,0.38,-2.55,0.31
588320,0.17,-2.55,0.41
513300,0.27,-2.56,0.58
501022,0.19,-2.56,0.81
512760,0.15,-2.57,1.08
510510,0.11,-2.57,2.06
501085,0.24,-2.59,0.92
159985,0.17,-2.61,0.62
159558,0.58,-2.63,0.37
159682,0.16,-2.63,0.42
159935,0.11,-2.63,1.81
159633,0.2,-2.66,0.99
508077,0.13,-2.66,1.01
501201,-0.15,-2.66,1.63
560300,0.51,-2.67,0.37
159506,0.14,-2.69,0.48
159671,0.16,-2.71,0.33
515070,0.11,-2.73,0.75
560780,0.48,-2.75,0.33
588460,0.16,-2.75,0.41
159923,0.1,-2.75,1.41
159929,0.03,-2.76,1.64
508009,-0.06,-2.79,1.8
159913,0.11,-2.8,1.01
159977,0.09,-2.8,1.03
512580,0.02,-2.8,1.13
159300,0.98,-2.82,0.83
159632,0.37,-2.83,0.5
159936,0.09,-2.83,1.58
159949,0.06,-2.83,0.93
159552,0.72,-2.84,0.3
513090,0.19,-2.84,0.65
159527,0.54,-2.85,0.49
159910,0.11,-2.85,1.08
159629,0.18,-2.86,1.02
159665,0.27,-2.88,0.48
508019,-0.18,-2.88,0.83
560010,0.15,-2.89,1.1
159912,0.07,-2.89,1.26
159557,0.42,-2.91,0.38
506002,0.12,-2.91,0.6
512290,-0.02,-2.92,1.64
159857,-0.01,-2.93,1.04
512190,0.25,-2.94,0.47
510290,0.12,-2.96,1.64
516010,0.07,-2.96,0.95
515650,0.04,-2.96,1.09
508099,-0.53,-2.96,2.2
510090,0.12,-2.97,0.87
159931,0.09,-2.97,0.99
